interview_process,interview_questions,experience_outcome,date,processed_timestamp,company,position,application_process
"Leetcode mediums/hards, system design (scalable, clean APIs), behavioral stuff (teamwork, leadership, “Googliness”), 4-6 rounds, strong focus on problem-solving, communication, tradeoffs. Expect whiteboard or Google Docs, interviewer hints, and follow-up questions.","[""Leetcode Med/Hard questions, pretty straightforward""]","[""No offer"", ""Difficult interview"", ""Neutral experience""]",14 May 2025,2025-06-12T08:27:23.638496,Google,Software Engineer,I interviewed at Google
"Initial phone interview, then 3 parts. First one was hard, second system, third was with VL. In overall it was average and good experience.","[""Implement dead letter kfka which run kn""]","[""Declined offer"", ""Positive experience"", ""Difficult interview""]",13 May 2025,2025-06-12T08:28:18.210810,Google,Software Engineer,"I interviewed at Google (London, England)"
Here are some common data structures and algorithms (DSA) interview questions that are often asked in Google interviews:,"[""1. How do you approach this or this problem"", ""2. What do you want to do in your life""]","[""No offer"", ""Positive experience"", ""Easy interview""]",11 May 2025,2025-06-12T08:31:09.234073,Google,Software Engineer,I interviewed at Google (Singapore)
"The process took roughly five weeks in total. First round was a recruiter screen standard stuff, nothing surprising. Then came a technical phone screen over Google Meet with a shared Doc; the question was graph-based, I got to a working solution but felt pretty rushed and got almost no feedback. After that, they scheduled a virtual onsite with four back-to-back interviews: two technical rounds (dynamic programming and binary trees), a system design (designing a rate limiter), and one behavioral round.",[],"[""No offer"", ""Difficult interview"", ""Neutral experience""]",9 May 2025,2025-06-12T08:33:58.074752,Google,Software Engineer,I applied online.
,"[""Data Structures & Algorithms: Given an array of integers, return indices of the two numbers such that they add up to a specific target."", ""Graphs: Given a list of airline tickets represented by pairs of departure and arrival airports, reconstruct the itinerary in lexical order."", ""Dynamic Programming: You are climbing a staircase. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?"", ""Trees: Given a binary tree, return the level order traversal of its nodes’ values (i.e., from left to right, level by level).""]","[""No offer"", ""Positive experience"", ""Average interview""]",8 May 2025,2025-06-12T08:34:54.597011,Google,Software Engineer,I interviewed at Google
"One online assessment + back to back coding interviews + team match! Overall straightforward and clear. If you don’t do well in one of the interviews, third one will be scheduled","[""Coding + behavior questions, like bfs and dfs""]","[""Accepted offer"", ""Positive experience"", ""Average interview""]",8 May 2025,2025-06-12T08:35:46.852712,Google,Software Engineer,I interviewed at Google
first round is intro meeting and know more about your background and there is a tutorial session give you the guidance about how to do in the coding interview 2/3/4 rounds are live coding test,"[""normal for round one, a Iteration Function code question for R2""]","[""No offer"", ""Positive experience"", ""Average interview""]",7 May 2025,2025-06-12T08:36:41.159500,Google,Software Engineer,I interviewed at Google (Sydney)
"Interviewing at Google as an engineer was challenging yet rewarding. The process tested problem-solving, coding, and system design skills. Interviewers were professional, and the experience offered valuable insights into high-level engineering.","[""Design a scalable URL shortening service like bit.ly—how would you handle billions of requests, ensure uniqueness, and allow for analytics?""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",7 May 2025,2025-06-12T08:37:37.030670,Google,Software Engineer,I applied through university.
"Got a call from google engineer and was asked a design question, not super complicated. Passed the coding phone screen but stopped the interview process because accepted another job offer","[""system design question in java""]","[""No offer"", ""Positive experience"", ""Average interview""]",6 May 2025,2025-06-12T08:39:23.922643,Google,Software Engineer,I interviewed at Google
"The interview process consisted of an initial online assessment followed by two technical rounds and one HR round. The focus was on data structures, system design basics, and problem-solving. Communication was smooth but the feedback took longer than expected.","[""Can you design a basic rate limiter for a web service?""]","[""No offer"", ""Neutral experience"", ""Average interview""]",2 May 2025,2025-06-12T08:41:16.032807,Google,Software Engineer,I interviewed at Google (Bengaluru)
"It was fairly easy, but since I wasn't shortlisted, maybe I didn't get to the hard part. I guess that's why. But I will advise everyone to give it a trial; you never know, you might be the next big thing.","[""I was asked to fill in my details.""]","[""No offer"", ""Neutral experience"", ""Average interview""]",2 May 2025,2025-06-12T08:42:11.531287,Google,Software Developer,"I interviewed at Google (Toronto, ON)"
One round was easy but Onsite round were a little tricky. Overall it was Average Interview. But all coding round were there. No Behavioral round,"[""Find the number which is coming only once into an integer array.""]","[""No offer"", ""Positive experience"", ""Average interview""]",2 May 2025,2025-06-12T08:43:07.895086,Google,Software Engineer,"I interviewed at Google (San Francisco, CA)"
"Those who pass this stage move on to a technical assessment, which involves solving real-world coding problems through an online platform. Successful candidates are then scheduled for a virtual interview with a senior developer, where they discuss system design, past projects, and tackle a live coding challenge. Finally, top candidates meet with the team for a culture fit interview before receiving an offer.","[""what i was good at""]","[""Accepted offer"", ""Positive experience"", ""Difficult interview""]",1 May 2025,2025-06-12T08:44:04.583709,Google,Software Engineer,"The interview process at CodeNimbus begins with an online application where candidates submit their resume and portfolio. After an initial review, selected applicants are invited to a 30-minute phone screening with a recruiter to discuss their background, interests, and availability."
1st Phone Screening Round 2nd Technical Screening Round 3 Onsite rounds 1 Googlyness round 1 Team matching round,"[""DSA questions related to BST""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",22 May 2025,2025-06-12T08:45:01.192788,Google,Software Engineer,I applied through a recruiter. The process took 2 months. I interviewed at Google (Bengaluru) in May 2025
"The Google interview process typically includes resume screening, a recruiter call, one or two technical phone interviews, and a full round of 4–6 onsite or virtual interviews covering coding, system design, and behavioral questions.","[""Software related Questions and other things""]","[""Declined offer"", ""Negative experience"", ""Difficult interview""]",30 Apr 2025,2025-06-12T08:45:58.781561,Google,Software Engineer,I interviewed at Google
Le processus d'entretien d'embauche à Google est un processus où tu es testé dans ta manière de reflexion/raisonnement dans plusieurs perspectives ou situations réelles ou théoriques avant d'être testé techniquement sur tes hard skills.,"[""Si tu fais la taille d'une pièce de monnaie et que tu es coincé dans une bouteille, comment tu fais pour sortir ?""]","[""No offer"", ""Difficult interview"", ""Neutral experience""]",30 Apr 2025,2025-06-12T08:46:50.670882,Google,Software Engineer,I interviewed at Google
"Had two interviews 45 mins back to back for the STEP engineering program. Questions were leetcode medium difficulty, finished them very quickly and ended up being ghosted for the team matching phase.","[""LIS with a slight twist.""]","[""No offer"", ""Negative experience"", ""Average interview""]",30 Apr 2025,2025-06-12T08:47:43.108279,Google,Software Engineer,I interviewed at Google
Very hard. It was really insanely hard. I had no idea how to prepare at all. The portal is not great either. Make sure to brush up on your resume and be prepared to do so.,"[""Tell me about yourself and your skills""]","[""No offer"", ""Negative experience"", ""Difficult interview""]",30 Apr 2025,2025-06-12T08:48:39.421011,Google,Software Engineer,"I interviewed at Google (San Francisco, CA)"
"For the Early Career position - standard with three coding rounds, and one Googleyness round. Technical rounds at Google focuses on Trees, Graphs and also standard array questions.","[""Behavioural focused on STAR type questions giving scenarios and asking how I dealt with them""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",23 May 2025,2025-06-12T08:50:32.913795,Google,Software Engineer,"I applied online. I interviewed at Google (New York, NY) in May 2025"
"Standard, a bit boring, just what you would expect from a Big Tech interview - depends on what you get. But it is okay, I mean it is a well organized process.","[""Something with bits and bytes.""]","[""Declined offer"", ""Neutral experience"", ""Average interview""]",29 Apr 2025,2025-06-12T08:51:29.319545,Google,Software Engineer,"I interviewed at Google (Munich, Bavaria)"
"In the interview, I was asked a technical question that tested my problem-solving skills, coding efficiency, and ability to clearly explain my thought process while working through a real-world scenario.",[],"[""No offer"", ""Positive experience"", ""Easy interview""]",29 Apr 2025,2025-06-12T08:52:22.000023,Google,Software Engineer,"I interviewed at Google (Toronto, ON)"
"I had a phone call with some questions, then I had to answer couple of questions about algorithms and python and then couple weeks later whiteboard coding interview, overall nice interview, frinedly interviewer, ","[""I was asked about merge sort big O notation, some python methods, during whiteboard coding I had to solve sliding window problem""]","[""No offer"", ""Easy interview"", ""Positive experience""]",26 Apr 2025,2025-06-12T08:53:16.313864,Google,Software Engineer,I interviewed at Google
They only made me do an onsite because this was about a year after I had gotten to the team match stage for the same position but then turned it down for external reasons. I got to skip doing the phone screen.,"[""I forget, I'm sorry. Standard 3 technicals and 1 nontechnical.""]","[""Accepted offer"", ""Positive experience"", ""Easy interview""]",25 Apr 2025,2025-06-12T08:54:11.699906,Google,Software Engineer,I interviewed at Google
4 rounds with 3 rounds of technical and 1 round of BQ. pretty good experience and interviewers are nice and communicative. It was intense but fair. The interviewers were respectful and gave enough hints to keep things moving. I appreciated how clear the expectations were.,"[""coding questions, what's your most complicated projects""]","[""No offer"", ""Positive experience"", ""Average interview""]",24 Apr 2025,2025-06-12T08:55:03.254940,Google,Software Engineer,I interviewed at Google
Great interview and i want to try again later because it would be awesome to work for google one day. I would love to try again.,"[""What is your biggest weakness?""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",23 Apr 2025,2025-06-12T08:55:58.690478,Google,Software Engineer,"I interviewed at Google (San Francisco, CA)"
"Great and efficient interview process, the team and the people were nice and asked great questions. I sincerely hope I get an offer, it would be a dream to work here.","[""Tell us about your career""]","[""Accepted offer"", ""Positive experience"", ""Average interview""]",22 Apr 2025,2025-06-12T08:56:53.023925,Google,Software Developer,I interviewed at Google
"Standard coding question. The first interview got cancelled for some reason as no one showed up and was rescheduled. On the interview re-do, it seemed like interviewer's side kept having connection issues.","[""Standard coding style question, lots of follow ups""]","[""No offer"", ""Neutral experience"", ""Average interview""]",22 Apr 2025,2025-06-12T08:57:44.518034,Google,Software Engineer,I interviewed at Google
"The interview was extremely challenging and heavily centered around assessing coding proficiency. It involved complex algorithmic problems and required a deep understanding of data structures, logical reasoning, and efficient problem-solving skills, reflecting a strong emphasis on technical programming capabilities.","[""A set of rules for an imaginary game was provided, and the task was to write code that accurately implemented those rules and simulated the game’s behavior based on the given logic.""]","[""No offer"", ""Positive experience"", ""Average interview""]",Apr 2025,2025-06-12T08:58:40.402881,Google,Software Developer,"I interviewed at Google (Waterloo, ON)"
"It was okay, it was not too hard, it was not too bad. It was not too difficult and it was not too long. Interview had coding and behavioral questions","[""Technical questions and behavioral questions""]","[""Accepted offer"", ""Positive experience"", ""Average interview""]",20 Apr 2025,2025-06-12T08:59:33.660327,Google,Software Engineer,I interviewed at Google
"The process took a few months, consisted of 1 phone screening with HR, 3 technical interviews and 1 googleyness interview. The technical interviews were all algorithms and data structures related.","[""Questions are confidential, so I cannot provide detailed questions. Doing leetcode style tasks should be enough to prepare, just remember to explain everything you're doing step by step - this is the most important part.""]","[""Accepted offer"", ""Positive experience"", ""Difficult interview""]",19 Apr 2025,2025-06-12T09:00:32.709837,Google,Software Engineer,"I interviewed at Google (Warsaw, Masovia)"
Interview process was long - 5-6 rounds of interviews. Lots of technical questions and samples. Met with several members of the hiring team at different stages of the interview process.,"[""Describe your programming style that you use""]","[""No offer"", ""Neutral experience"", ""Average interview""]",18 Apr 2025,2025-06-12T09:01:28.736839,Google,Software Engineer,"I interviewed at Google (Denver, CO)"
Had phone interview round-lasted for 45 minutes -difficulty level is medium- Array Based questions Linked List questions interviewer was helpful and encouraging constructive approach is the best way to crack this round if you are stuck you should definitely ask interviewer,"[""Find the pairs which follows this condition arr[i]-arr[j] = i-j"", ""Merge k sorted linked list""]","[""No offer"", ""Neutral experience"", ""Neutral experience""]",17 Apr 2025,2025-06-12T09:02:23.522031,Google,Software Engineer,I interviewed at Google (Hyderābād)
"4 remote interviews, 3 coding 1 system design","[""Given a grid of 1,-1,and0 find the shortest path to connect all 1's. -1 is impassable.""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",17 Apr 2025,2025-06-12T09:04:17.231251,Google,Software Engineer,"I interviewed at Google (Mountain View, CA)"
"The interview consisted of two technical problem-solving questions in the style of LeetCode. We were given access to a shared Google Doc, where we were expected to write our solutions in real-time. The focus was not only on arriving at the correct answer but also on explaining our thought process clearly and communicating effectively throughout the session.","[""LeetCode Medium (Prefix Sum)"", ""Follow Up is 2d prefix sum""]","[""No offer"", ""Positive experience"", ""Average interview""]",16 Apr 2025,2025-06-12T09:06:10.654448,Google,Software Engineer,"I interviewed at Google (Poland, ME)"
"3 technical rounds and 1 behavioral. The technical questions focused on maps, tries, and probability. Each round emphasized problem-solving and clear communication. The behavioral round assessed collaboration and ownership, and some of the general questions you can expect","[""The technical questions focused on maps, tries, and probability.""]","[""No offer"", ""Positive experience"", ""Average interview""]",16 Apr 2025,2025-06-12T09:07:05.013897,Google,Software Engineer,I interviewed at Google
Did leetcode hard and you have to know a lot like white board etc. and also BS AND BST and some backend stuff and also be good at OOP dnd d,[],"[""No offer"", ""Positive experience"", ""Difficult interview""]",15 Apr 2025,2025-06-12T09:07:56.187107,Google,Software Engineer,"I interviewed at Google (Minnesota Lake, MN)"
HR called for screening and did first round of tech interview and told I was selected in first round but after that ghosted. I tried calling but didn't got any response.,"[""It was sliding window problem""]","[""No offer"", ""Negative experience""]",14 Apr 2025,2025-06-12T09:08:53.804301,Google,Software Engineer,"I interviewed at Google (Gurgaon, Haryana)"
"Straight forward, LC style. Dynamic programming question, think about something like knapsack problem. Recruiter reached out and did a phone screen. Recruiter was very quick at scheduling the interview and getting the feedback in time.",[],"[""No offer"", ""Positive experience"", ""Difficult interview""]",13 Apr 2025,2025-06-12T09:09:49.185161,Google,Software Engineer,"I interviewed at Google (New York, NY)"
